,Date,AQI
333,01-12-20,106
334,02-12-20,139
335,03-12-20,119
336,04-12-20,160
337,05-12-20,137
338,06-12-20,108
339,07-12-20,76.71884984
340,08-12-20,83
341,09-12-20,81
342,10-12-20,82
343,11-12-20,86
344,12-12-20,94
345,13-12-20,76
346,14-12-20,54
347,15-12-20,72
348,16-12-20,107
349,17-12-20,115
350,18-12-20,144
351,19-12-20,105
352,20-12-20,106
353,21-12-20,85
354,22-12-20,97
355,23-12-20,109
356,24-12-20,99
357,25-12-20,87
358,26-12-20,122
359,27-12-20,123
360,28-12-20,91
361,29-12-20,77
362,30-12-20,139
363,31-12-20,153
364,01-01-21,182
365,02-01-21,140
366,03-01-21,90
367,04-01-21,88
368,05-01-21,136
369,06-01-21,176
370,07-01-21,126
371,08-01-21,122
372,09-01-21,96
373,10-01-21,95
374,11-01-21,114
375,12-01-21,105
376,13-01-21,137
377,14-01-21,105
378,15-01-21,63
379,16-01-21,65
380,17-01-21,67
381,18-01-21,96
382,19-01-21,60
383,20-01-21,87
384,21-01-21,75
