,Date,AQI
0,01-12-20,163
1,02-12-20,222
2,03-12-20,194
3,04-12-20,196
4,05-12-20,241
5,06-12-20,177
6,07-12-20,195
7,08-12-20,200
8,09-12-20,197
9,10-12-20,187
10,11-12-20,232
11,12-12-20,165
12,13-12-20,165
13,14-12-20,122
14,15-12-20,180
15,16-12-20,284
16,17-12-20,278
17,18-12-20,271
18,19-12-20,232
19,20-12-20,205
20,21-12-20,191
21,22-12-20,168
22,23-12-20,228
23,24-12-20,229
24,25-12-20,264
25,26-12-20,274
26,27-12-20,291
27,28-12-20,213
28,29-12-20,235
29,30-12-20,273
30,31-12-20,290
31,01-01-21,306
32,02-01-21,338
33,03-01-21,323
34,04-01-21,316
35,05-01-21,297
36,06-01-21,320
37,07-01-21,343
38,08-01-21,330
39,09-01-21,288
40,10-01-21,236
41,11-01-21,209
42,12-01-21,235
43,13-01-21,242
44,14-01-21,249
45,15-01-21,214
46,16-01-21,180
47,17-01-21,236
48,18-01-21,173
49,19-01-21,187
50,20-01-21,227
51,21-01-21,240
52,22-01-21,180
