,Date,AQI
335,01-12-20,101
336,02-12-20,146
337,03-12-20,135
338,04-12-20,133
339,05-12-20,131
340,06-12-20,127
341,07-12-20,98
342,08-12-20,90
343,09-12-20,104
344,10-12-20,121
345,11-12-20,182
346,12-12-20,108
347,13-12-20,136
348,14-12-20,99
349,15-12-20,116
350,16-12-20,225
351,17-12-20,189
352,18-12-20,170.5
353,19-12-20,152
354,20-12-20,155
355,21-12-20,145
356,22-12-20,100
357,23-12-20,184
358,24-12-20,157
359,25-12-20,197
360,26-12-20,211
361,27-12-20,246
362,28-12-20,168
363,29-12-20,233
364,30-12-20,199
365,31-12-20,234
366,01-01-21,240
367,02-01-21,309
368,03-01-21,296
369,04-01-21,288
370,05-01-21,279
371,06-01-21,319
372,07-01-21,327
373,08-01-21,295
374,09-01-21,205
375,10-01-21,234
376,11-01-21,256
377,12-01-21,171
378,13-01-21,163
379,14-01-21,251
380,15-01-21,220.5
381,16-01-21,190
382,17-01-21,208
383,18-01-21,175
384,19-01-21,184
385,20-01-21,132
386,21-01-21,260
