,Date,AQI
335,01-12-20,162
336,02-12-20,202
337,03-12-20,103.084058
338,04-12-20,103.084058
339,05-12-20,237
340,06-12-20,165
341,07-12-20,152
342,08-12-20,175
343,09-12-20,135
344,10-12-20,145
345,11-12-20,189
346,12-12-20,156
347,13-12-20,153
348,14-12-20,117
349,15-12-20,178
350,16-12-20,137
351,17-12-20,130
352,18-12-20,244
353,19-12-20,222
354,20-12-20,200
355,21-12-20,166
356,22-12-20,125
357,23-12-20,208
358,24-12-20,198
359,25-12-20,238
360,26-12-20,264
361,27-12-20,278
362,28-12-20,156
363,29-12-20,143
364,30-12-20,205
365,31-12-20,270
366,01-01-21,298
367,02-01-21,326
368,03-01-21,214.542029
369,04-01-21,241.7710145
370,05-01-21,269
371,06-01-21,328
372,07-01-21,323
373,08-01-21,213.042029
374,09-01-21,256.0210145
375,10-01-21,299
376,11-01-21,310
377,12-01-21,275
378,13-01-21,262
379,14-01-21,258
380,15-01-21,167
381,16-01-21,99
382,17-01-21,103.084058
383,18-01-21,103.084058
384,19-01-21,103.084058
385,20-01-21,103.084058
386,21-01-21,103.084058
